# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).,,,,,,,,,,,,,,,,,,,,,,,,
# The Matrix table should include non-normalized signal count data and detection p-value,,,,,,,,,,,,,,,,,,,,,,,,
"# Values that should be disregarded may either be left blank or labeled as ""null"".",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ID_REF,HAN_22_A_1_WT,Detection Pval,HAN_22_B_2_WT,Detection Pval,HAN_23_A_1_TG,Detection Pval,HAN_23_A_2_TG,Detection Pval,HAN_28_A_1_WT,Detection Pval,HAN_28_B_1_WT,Detection Pval,HAN_30_A_1_TG,Detection Pval,HAN_30_B_2_TG,Detection Pval,HAN_32_A_1_WT,Detection Pval,HAN_32_B_1_WT,Detection Pval,HAN_33_A_1_TG,Detection Pval,HAN_33_B_2_TG,Detection Pval
ILMN_1212782,108.6,0.5614,68.3,0.87218,90.5,0.76817,77.2,0.81203,101.6,0.37218,86.8,0.2406,102.4,0.34837,82.8,0.39223,112.2,0.14662,98.5,0.02757,99.6,0.38972,70.3,0.64662
ILMN_1212791,128.1,0.07769,79.2,0.23434,105.5,0.10025,89.5,0.13158,112.3,0.08647,101.4,0.01629,119.5,0.07393,87.3,0.17293,107.1,0.26942,94.4,0.06767,122.2,0.04887,89.1,0.02005
ILMN_1212794,1159.4,0,345.4,0,611.6,0,438.2,0,612.4,0,366.2,0,1157.9,0,395.9,0,806.7,0,628.7,0,759.9,0,259.4,0
ILMN_1212799,104.6,0.72055,81.8,0.13534,97.5,0.38722,95.9,0.03258,98.3,0.52506,76.8,0.78571,98.4,0.50376,83.4,0.35589,101.5,0.47494,91.3,0.12907,94.5,0.63158,72,0.52381
ILMN_1212804,111.1,0.45363,81,0.16165,99.1,0.30451,81.2,0.57018,101.4,0.38095,77.8,0.74937,96.1,0.60652,87.7,0.16165,107.7,0.23935,88.4,0.20426,99.5,0.39223,74,0.36842
ILMN_1212812,106.5,0.65664,72.2,0.68672,115.3,0.01629,81.4,0.55514,91.8,0.81328,77.8,0.74937,98.2,0.51253,80.1,0.57018,97.5,0.6792,78.8,0.74687,93.3,0.6817,82.3,0.07644
ILMN_1212823,117.7,0.22932,71.4,0.73559,93.7,0.61654,91.6,0.08521,106.4,0.20426,92.3,0.07769,106.2,0.24311,87.2,0.17293,115.2,0.09524,89.9,0.1604,101.7,0.29699,78.5,0.17043
ILMN_1212828,158.4,0.00125,95.5,0.00501,113,0.02381,95.2,0.03634,115.4,0.06015,100.1,0.01754,112.6,0.12406,90.2,0.09273,107.9,0.22932,104.5,0.00501,101.9,0.29449,75.9,0.26817
ILMN_1212835,1246.9,0,515.9,0,293.5,0,295.8,0,1320.7,0,982.2,0,576.5,0,291,0,988.7,0,609.3,0,748.3,0,251.6,0
ILMN_1212836,116.2,0.26316,69.3,0.84085,103.3,0.16667,88.3,0.17293,115.2,0.0614,82.8,0.45489,107.1,0.21805,77.7,0.68797,102.8,0.41353,77.4,0.81704,125.4,0.04261,75.6,0.28697
ILMN_1212840,116.9,0.24937,68.8,0.8609,101.2,0.22932,83.8,0.42231,99.1,0.48747,86.6,0.25188,97.5,0.54637,77.8,0.68421,102.4,0.43609,81.5,0.57519,102.7,0.26065,71.7,0.53759
ILMN_1212850,125.7,0.09273,78.5,0.27444,97.4,0.39348,94.3,0.04637,100.3,0.44236,84.8,0.35464,106.8,0.23058,74.9,0.80827,99.1,0.61028,94.6,0.06767,105.6,0.198,78.1,0.1817
ILMN_1212854,103,0.78195,80.9,0.16792,107.1,0.07644,98.4,0.0188,104.8,0.24937,95.1,0.05388,147.5,0.00376,89.3,0.11905,103.3,0.3985,89.9,0.16165,131,0.02882,88.6,0.02256
ILMN_1212875,1317.6,0,484,0,670,0,445.9,0,985,0,643.1,0,856.9,0,270.6,0,910.2,0,564.7,0,884.3,0,242.5,0
ILMN_1212878,95.8,0.92607,66.6,0.92105,83.2,0.96491,70.6,0.96617,86.4,0.9411,62.7,0.99875,79.8,0.99373,71.2,0.92481,91.2,0.88471,84,0.42356,84.1,0.95865,76.2,0.25689
ILMN_1212884,115.2,0.29699,73.6,0.58897,97.3,0.3985,77.8,0.77444,93,0.77694,91,0.1015,88.2,0.91103,84.2,0.32206,100.7,0.52381,86,0.32957,103.3,0.24937,68.1,0.78697
ILMN_1212894,764.5,0,361.1,0,678.2,0,508.9,0,650.4,0,675.1,0,944.4,0,447.1,0,555.7,0,541.8,0,613.8,0,331.5,0
ILMN_1212902,982.4,0,415.8,0,499.3,0,323.7,0,554.3,0,413.9,0,707.1,0,225,0,652.1,0,593.6,0,726.4,0,237.3,0
ILMN_1212906,120,0.17544,73.3,0.60902,100.4,0.25815,85.5,0.32206,99.7,0.46867,81.5,0.53634,108.2,0.19298,80.7,0.53258,118.2,0.05764,90,0.15664,108.1,0.15539,73,0.45363
ILMN_1212907,760,0,272.3,0,539.6,0,387,0,541.4,0,488.1,0,862.8,0,337.8,0,563.2,0,510.8,0,518.7,0,240.5,0
ILMN_1212921,115.1,0.29825,74,0.56015,94,0.60401,83.4,0.43484,101.7,0.36842,96.9,0.03383,97.4,0.54887,90.1,0.09524,108.8,0.20677,90.2,0.14912,97.4,0.48371,76.6,0.24185
ILMN_1212935,115,0.30576,72.1,0.69298,107.7,0.07268,77.8,0.77569,106.3,0.21053,89.6,0.13659,110,0.15414,84.2,0.31704,107.9,0.23058,82.1,0.54261,113.9,0.09774,68.7,0.74812
ILMN_1212938,361.4,0,230.6,0,451.1,0,229.9,0,337.8,0,226.3,0,601.5,0,334.4,0,213.8,0,177.3,0,662,0,258.4,0
ILMN_1212939,113.5,0.35965,77.1,0.3396,92.7,0.67168,76.9,0.82707,99.5,0.47744,79.4,0.64912,94,0.70551,81.2,0.49248,104.2,0.36591,77.2,0.81955,98.6,0.42857,70.2,0.65038
ILMN_1212941,2216.2,0,864.3,0,2897.1,0,1334.7,0,1937,0,1051.4,0,2479.3,0,880.9,0,1253.8,0,1356.4,0,1589.8,0,676.7,0
ILMN_1212949,127.6,0.0802,69.1,0.84837,126.9,0.00501,82.2,0.50627,114.9,0.0614,79,0.68421,149.8,0.00376,84.6,0.29198,106.7,0.28446,81,0.61779,129.4,0.03133,77.3,0.21303
ILMN_1212953,111.3,0.44361,81.8,0.13534,89,0.82331,90.7,0.10902,96,0.64787,75.3,0.84962,105.3,0.26441,75,0.80827,110.8,0.17168,80.4,0.64536,92.5,0.71554,71.7,0.5401
ILMN_1212966,110.7,0.47118,81,0.16165,100.3,0.2594,87.8,0.19674,102.8,0.32206,78.1,0.72682,106.4,0.24185,87.4,0.17043,98.1,0.65664,83.9,0.42732,95.6,0.56767,71.9,0.52506
